pH,CO2,HCO3,CO3,H,OH,DIC,CO2_frac,HCO3_frac,CO3_frac
0.52,0.0009999977463833031,2.2536225845761764e-09,9.993922876415342e-19,0.3908447246435343,5.070770511780347e-14,0.0010000000000058888,0.9999977463774143,2.253622584562905e-06,9.99392287635649e-16
0.53,0.000999997702654471,2.297351396637726e-09,1.0363628304959134e-18,0.38153193878133096,5.175070076674942e-14,0.0010000000000058686,0.9999977026486023,2.297351396624244e-06,1.0363628304898314e-15
0.54,0.0009999976579793388,2.342026505022678e-09,1.0747419377230737e-18,0.37243957797109123,5.281504732509031e-14,0.001000000000005845,0.9999976579734939,2.342026505008989e-06,1.0747419377167918e-15
0.55,0.0009999976123377808,2.3876680439950527e-09,1.1145843041703983e-18,0.3635624830633875,5.390120107050159e-14,0.0010000000000058259,0.9999976123319549,2.3876680439811422e-06,1.114584304163905e-15
0.56,0.0009999975657092003,2.4342966001303057e-09,1.1559468010235727e-18,0.35489561412508874,5.500962852392381e-14,0.0010000000000058016,0.9999975657033987,2.434296600116183e-06,1.1559468010168663e-15
0.5700000000000001,0.0009999975180725617,2.4819332225349548e-09,1.198888565002038e-18,0.34643404771136216,5.61408066866249e-14,0.0010000000000057855,0.9999975180667762,2.4819332225205953e-06,1.1988885649951017e-15
0.58,0.0009999974694063418,2.5305994333126367e-09,1.2434710913244796e-18,0.3381729741999006,5.729522328275997e-14,0.0010000000000057764,0.9999974694005653,2.5305994332980187e-06,1.2434710913172968e-15
0.59,0.0009999974196885227,2.5803172382823865e-09,1.289758330608127e-18,0.33010769518595456,5.847337700755553e-14,0.0010000000000057623,0.9999974196827605,2.5803172382675177e-06,1.2897583306006949e-15
0.6,0.000999997368896619,2.6311091379546747e-09,1.3378167898723919e-18,0.32223362093677993,5.96757777812507e-14,0.0010000000000057582,0.9999973688908609,2.631109137939524e-06,1.3378167898646884e-15
0.61,0.0009999973170075965,2.682998138770604e-09,1.387715637825518e-18,0.31454626790414475,6.090294700892006e-14,0.0010000000000057365,0.9999973170018599,2.6829981387552127e-06,1.3877156378175573e-15
0.62,0.0009999972639979748,2.736007764611165e-09,1.4395268146204112e-18,0.3070412562935667,6.215541784632542e-14,0.0010000000000057409,0.999997263992234,2.7360077645954577e-06,1.439526814612147e-15
0.63,0.0009999972098436601,2.7901620685810785e-09,1.4933251462740603e-18,0.2997143076889878,6.343373547192452e-14,0.0010000000000057302,0.9999972098379298,2.79016206856509e-06,1.4933251462655031e-15
0.64,0.000999997154520072,2.8454856450750693e-09,1.5491884639540814e-18,0.292561242731618,6.47384573651853e-14,0.0010000000000057185,0.9999971545143534,2.8454856450587972e-06,1.5491884639452223e-15
0.65,0.0009999970980020779,2.902003642131561e-09,1.6071977283442066e-18,0.28557797885171105,6.607015359135136e-14,0.0010000000000057216,0.9999970979963564,2.902003642114957e-06,1.6071977283350108e-15
0.66,0.000999997040263941,2.959741774081032e-09,1.6674371593104936e-18,0.2787605280520627,6.742940709280221e-14,0.0010000000000057168,0.9999970402582241,2.9597417740641114e-06,1.6674371593009612e-15
0.67,0.0009999969812793746,3.0187263344955645e-09,1.7299943711000062e-18,0.2721049947420503,6.881681398716933e-14,0.0010000000000057107,0.9999969812736639,3.0187263344783255e-06,1.7299943710901266e-15
0.68,0.0009999969210214969,3.078984209446149e-09,1.7949605133132343e-18,0.2656075736210579,7.023298387235391e-14,0.0010000000000057081,0.9999969210157887,3.0789842094285736e-06,1.7949605133029884e-15
0.6900000000000001,0.0009999968594628138,3.140542891075094e-09,1.86243041790329e-18,0.25926454761015955,7.167854013861599e-14,0.0010000000000057068,0.999996859457107,3.1405428910571714e-06,1.862430417892661e-15
0.7000000000000001,0.0009999967965752031,3.2034304914902174e-09,1.9325027524653665e-18,0.2530722858309568,7.315412028789032e-14,0.0010000000000056966,0.9999967965695065,3.2034304914719687e-06,1.9325027524543577e-15
0.71,0.000999996732329942,3.2676757569886917e-09,2.0052801800923164e-18,0.24702724163049633,7.466037626050285e-14,0.001000000000005701,0.9999967323242411,3.267675756970063e-06,2.0052801800808844e-15
0.72,0.0009999966666976122,3.3333080826173646e-09,2.0808695260836674e-18,0.2411259506512088,7.619797476945431e-14,0.001000000000005697,0.9999966666919152,3.3333080825983744e-06,2.0808695260718126e-15
0.73,0.0009999965996481679,3.40035752707803e-09,2.1593819518096996e-18,0.23536502894484782,7.77675976424458e-14,0.001000000000005697,0.9999965996424708,3.4003575270586577e-06,2.1593819517973975e-15
0.74,0.0009999965311508667,3.4688548279846405e-09,2.2409331360436216e-18,0.22974117112941667,7.936994217183503e-14,0.0010000000000056969,0.99999653114517,3.468854827964879e-06,2.240933136030855e-15
0.75,0.0009999964611742713,3.5388314174810315e-09,2.32564346409086e-18,0.22425114858810605,8.100572147269127e-14,0.0010000000000056912,0.9999964611685801,3.538831417460891e-06,2.3256434640776242e-15
0.76,0.0009999963896862554,3.610319438227372e-09,2.413638225058109e-18,0.2188918077092793,8.267566484915118e-14,0.001000000000005696,0.9999963896805595,3.6103194382068077e-06,2.4136382250443606e-15
0.77,0.0009999963166539211,3.683351759763361e-09,2.505047817619775e-18,0.21366006816656988,8.438051816926047e-14,0.0010000000000056834,0.9999963166482377,3.683351759742427e-06,2.5050478176055377e-15
0.78,0.0009999962420436906,3.757961995257436e-09,2.6000079646572615e-18,0.2085529212381727,8.612104424849938e-14,0.0010000000000056884,0.9999962420380022,3.7579619952360593e-06,2.6000079646424715e-15
0.79,0.0009999961658211654,3.8341845186499225e-09,2.6986599371605105e-18,0.20356742816443552,8.789802324219778e-14,0.0010000000000056867,0.9999961658154787,3.8341845186281186e-06,2.698659937145164e-15
0.8,0.000999996087951206,3.912054482200138e-09,2.8011507878018328e-18,0.1987007185428748,8.971225304703644e-14,0.001000000000005691,0.999996087945515,3.912054482177875e-06,2.8011507877858915e-15
0.81,0.0009999960083978505,3.991607834445904e-09,2.907633594607914e-18,0.19394998875976097,9.156454971185999e-14,0.0010000000000056877,0.9999960083921627,3.991607834423201e-06,2.907633594591376e-15
0.8200000000000001,0.0009999959271243437,4.072881338585385e-09,3.018267715176341e-18,0.18931250045743853,9.345574785800441e-14,0.0010000000000056854,0.9999959271186584,4.072881338562229e-06,3.018267715159181e-15
0.8300000000000001,0.000999995844093094,4.155912591290739e-09,3.133219051902668e-18,0.18478557903656398,9.538670110936763e-14,0.0010000000000056884,0.9999958440874057,4.155912591267098e-06,3.133219051884845e-15
0.84,0.0009999957592656456,4.240740041963429e-09,3.252660328705096e-18,0.1803666121924649,9.73582825324481e-14,0.0010000000000056908,0.9999957592599549,4.240740041939296e-06,3.252660328686586e-15
0.85,0.0009999956726026756,4.327403012441802e-09,3.3767713797555173e-18,0.17605304848484046,9.937138508658323e-14,0.0010000000000056916,0.9999956725969841,4.327403012417172e-06,3.376771379736298e-15
0.86,0.0009999955840639702,4.415941717170484e-09,3.505739450748727e-18,0.17184239594004275,1.0142692208462536e-13,0.0010000000000056908,0.9999955840582795,4.415941717145353e-06,3.5057394507287767e-15
0.87,0.0009999954936084003,4.5063972838431005e-09,3.639759513265683e-18,0.16773222068519397,1.0352582766429781e-13,0.0010000000000056877,0.9999954936027126,4.506397283817469e-06,3.639759513244981e-15
0.88,0.0009999954011939152,4.5988117745286124e-09,3.7790345928113766e-18,0.1637201456134142,1.0566905727048025e-13,0.0010000000000056934,0.9999954011882218,4.59881177450243e-06,3.779034592789861e-15
0.89,0.0009999953067774696,4.693228207292751e-09,3.92377611113457e-18,0.15980384907944795,1.0785758814867507e-13,0.0010000000000056808,0.9999953067717888,4.69322820726609e-06,3.9237761111122804e-15
0.9,0.000999995210315101,4.789690578325747e-09,4.074204243463268e-18,0.15598106362499708,1.1009241984992438e-13,0.0010000000000056836,0.9999952103094175,4.7896905782985245e-06,4.074204243440112e-15
0.91,0.0009999951117617913,4.888243884587939e-09,4.230548291319209e-18,0.15224957473308168,1.1237457474743132e-13,0.0010000000000056802,0.9999951117561111,4.888243884560173e-06,4.230548291295179e-15
0.92,0.000999995011071526,4.9889341469856584e-09,4.393047071604298e-18,0.14860721961076637,1.1470509856516876e-13,0.0010000000000056773,0.9999950110658486,4.988934146957334e-06,4.393047071579357e-15
0.93,0.0009999949081972441,5.091808434089214e-09,4.5619493226829396e-18,0.1450518859996048,1.1708506091875382e-13,0.0010000000000056828,0.9999949081915613,5.091808434060279e-06,4.561949322657015e-15
0.9400000000000001,0.000999994803090797,5.196914886405392e-09,4.737514128217194e-18,0.14158151101317143,1.195155558688679e-13,0.0010000000000056882,0.9999948030851088,5.196914886375831e-06,4.7375141281902466e-15
0.9500000000000001,0.000999994695702941,5.304302741217942e-09,4.920011359546339e-18,0.13819408000106037,1.219977024875234e-13,0.001000000000005687,0.9999946956972539,5.304302741187776e-06,4.9200113595183584e-15
0.96,0.0009999945859833239,5.41402235800838e-09,5.109722137437206e-18,0.13488762543875038,1.2453264543747353e-13,0.001000000000005687,0.9999945859776368,5.41402235797759e-06,5.109722137408146e-15
0.97,0.0009999944738804374,5.526125244470906e-09,5.306939314070183e-18,0.13166022584274456,1.2712155556506654e-13,0.001000000000005687,0.9999944738747504,5.526125244439478e-06,5.3069393140400016e-15
0.98,0.000999994359341599,5.6406640831355834e-09,5.511967976164235e-18,0.12851000471040924,1.297656305068738e-13,0.0010000000000056875,0.9999943593359114,5.640664083103502e-06,5.511967976132885e-15
0.99,0.000999994242312921,5.757692758612758e-09,5.725125970185478e-18,0.12543512948394947,1.3246609531039502e-13,0.0010000000000056851,0.9999942423072359,5.757692758580025e-06,5.72512597015293e-15
1.0,0.000999994122739297,5.877266385474362e-09,5.946744450626977e-18,0.1224338105379706,1.3522420306918397e-13,0.0010000000000056882,0.9999941227336088,5.877266385440931e-06,5.946744450593151e-15
1.01,0.0009999940005643347,5.999441336786149e-09,6.177168452391503e-18,0.11950430019008877,1.3804123557272372e-13,0.0010000000000056776,0.9999940005586573,5.999441336752087e-06,6.177168452356432e-15
1.02,0.0009999938757304031,6.124275273306022e-09,6.416757488356983e-18,0.11664489173406593,1.4091850397140043e-13,0.001000000000005683,0.9999938757247202,6.124275273271218e-06,6.416757488320516e-15
1.03,0.000999993748178502,6.251827173363855e-09,6.665886173251796e-18,0.11385391849495598,1.4385734945693125e-13,0.001000000000005682,0.9999937481728199,6.251827173328331e-06,6.665886173213919e-15
1.04,0.000999993617848317,6.382157363439225e-09,6.924944875020305e-18,0.11112975290576084,1.468591439585949e-13,0.0010000000000056873,0.9999936178426297,6.382157363402928e-06,6.9249448749809206e-15
1.05,0.000999993484678131,6.515327549452028e-09,7.194340394911059e-18,0.10847080560510755,1.4992529085565753e-13,0.0010000000000056875,0.9999934846724435,6.515327549414972e-06,7.194340394870142e-15
1.06,0.000999993348604831,6.6514008487843215e-09,7.474496677576846e-18,0.10587552455546766,1.5305722570634782e-13,0.001000000000005687,0.9999933485991439,6.6514008487464944e-06,7.474496677534338e-15
1.07,0.0009999932095638526,6.790441823048325e-09,7.76585555253484e-18,0.10334239418145137,1.5625641699379288e-13,0.0010000000000056834,0.9999932095581693,6.7904418230097324e-06,7.765855552490703e-15
1.08,0.000999993067489169,6.9325165116195985e-09,8.068877508395091e-18,0.10086993452772076,1.5952436688929034e-13,0.0010000000000056886,0.9999930674834804,6.932516511580162e-06,8.068877508349191e-15
1.09,0.0009999929223132027,7.077692465952286e-09,8.384042501331888e-18,0.09845670043607532,1.6286261203333785e-13,0.0010000000000056771,0.9999929223075257,7.077692465912105e-06,8.38404250128429e-15
